Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,pedigree,scale without pedigree,Exchange's common name,Exchange location,Exchange category,comment
Demand vector,FPIOLPBAPOS_E_rre4,FPIOLPBAPOS_Recycling_EOL_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLPBAPOS_E_rre4,FPIOLPBAPOS_Recycling_EOL_4,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLPBAPOS_Ed4,FPIOLPBAPOS_Landfilling_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLPBAPOS_Ed4,FPIOLPBAPOS_Landfilling_4,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLPBAPOS_Ed4,FPIOLPBAPOS_Landfilling_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,22.4,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLPBAPOS_Ed4,FPIOLPBAPOS_Landfilling_4,unit,process,ecoinvent 3_5 apos,477c481ea9fb2c0061c0af22377b8f50,-700,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPIOLPBAPOS_Etot_4_LCI,FPIOLPBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLPBAPOS_Ev4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_4_LCI,FPIOLPBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLPBAPOS_Erc4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_4_LCI,FPIOLPBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLPBAPOS_ASB4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_4_LCI,FPIOLPBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLPBAPOS_DSB4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_4_LCI,FPIOLPBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLPBAPOS_E_rre4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_4_LCI,FPIOLPBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLPBAPOS_Ed4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_4_LCI,FPIOLPBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLPBAPOS_Etot_3_LCI,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Ev5,FPIOLPBAPOS_Virgin_production_5,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,0.1178,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLPBAPOS_Ev5,FPIOLPBAPOS_Virgin_production_5,unit,process,ecoinvent 3_5 apos,9e2f7f150c81586402293d47bdf0fa6b,1,kilowatt hour,technosphere,0,1,,,,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",CA-QC,,Electricl efficiency referring to the LHV of the fuel input
Demand vector,FPIOLPBAPOS_Erc5,FPIOLPBAPOS_Recycled_production_5,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,0.1447,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLPBAPOS_Erc5,FPIOLPBAPOS_Recycled_production_5,unit,process,Modified dataset,Recycled_WC_cogeneration_APOS,1,kilowatt hour,technosphere,0,1,,,,"recycled WC - heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",,,
Demand vector,FPIOLPBAPOS_Etot_5_LCI,FPIOLPBAPOS_Inventaire_tot_5,unit,process,Demand vector,FPIOLPBAPOS_Ev5,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_5_LCI,FPIOLPBAPOS_Inventaire_tot_5,unit,process,Demand vector,FPIOLPBAPOS_Erc5,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLPBAPOS_Etot_5_LCI,FPIOLPBAPOS_Inventaire_tot_5,unit,process,Demand vector,FPIOLPBAPOS_Etot_4_LCI,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Ev1,FPIOLSBAPOS_Virgin_production_1,unit,process,ecoinvent 3_5 apos,f6e64011bb71b4f4b7de0d059f1334d2,1,cubic meter,technosphere,0,1,,,,"sawnwood, beam, softwood, dried (u=20%), planed",CA-QC,,
Demand vector,FPIOLSBAPOS_ASB1,FPIOLSBAPOS_Assembling_1,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,32,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_DSB1,FPIOLSBAPOS_Disassembly_deconst_1,unit,process,ecoinvent 3_5 apos,f475ad02498fff08b3b9f20443bfebba,17.95,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPIOLSBAPOS_E_rre1,FPIOLSBAPOS_Recycling_EOL_1,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_E_rre1,FPIOLSBAPOS_Recycling_EOL_1,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLSBAPOS_Ed1,FPIOLSBAPOS_Landfilling_1,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed1,FPIOLSBAPOS_Landfilling_1,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLSBAPOS_Ed1,FPIOLSBAPOS_Landfilling_1,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,16,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed1,FPIOLSBAPOS_Landfilling_1,unit,process,ecoinvent 3_5 apos,477c481ea9fb2c0061c0af22377b8f50,-500,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPIOLSBAPOS_Etot_1_LCI,FPIOLSBAPOS_Inventaire_tot_1,unit,process,Demand vector,FPIOLSBAPOS_Ev1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_1_LCI,FPIOLSBAPOS_Inventaire_tot_1,unit,process,Demand vector,FPIOLSBAPOS_ASB1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_1_LCI,FPIOLSBAPOS_Inventaire_tot_1,unit,process,Demand vector,FPIOLSBAPOS_DSB1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_1_LCI,FPIOLSBAPOS_Inventaire_tot_1,unit,process,Demand vector,FPIOLSBAPOS_E_rre1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_1_LCI,FPIOLSBAPOS_Inventaire_tot_1,unit,process,Demand vector,FPIOLSBAPOS_Ed1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Ev2,FPIOLSBAPOS_Virgin_production_2,unit,process,ecoinvent 3_5 apos,cc80552c738a87fcbcd6bb63d752994c,1,cubic meter,technosphere,0,1,,,,"glued laminated timber, for indoor use",CA-QC,,EcoSpold01Location=RER
Demand vector,FPIOLSBAPOS_Erc2,FPIOLSBAPOS_Recycled_production_2,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,511.03,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Erc2,FPIOLSBAPOS_Recycled_production_2,unit,process,Modified dataset,Recyc_glulam_APOS,1,cubic meter,technosphere,0,1,,,,"recycled glued laminated timber, for indoor use",,,EcoSpold01Location=RER
Demand vector,FPIOLSBAPOS_ASB2,FPIOLSBAPOS_Assembling_2,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,349,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_DSB2,FPIOLSBAPOS_Disassembly_deconst_2,unit,process,ecoinvent 3_5 apos,f475ad02498fff08b3b9f20443bfebba,127,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPIOLSBAPOS_E_rre2,FPIOLSBAPOS_Recycling_EOL_2,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_E_rre2,FPIOLSBAPOS_Recycling_EOL_2,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLSBAPOS_Ed2,FPIOLSBAPOS_Landfilling_2,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed2,FPIOLSBAPOS_Landfilling_2,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLSBAPOS_Ed2,FPIOLSBAPOS_Landfilling_2,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,16,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed2,FPIOLSBAPOS_Landfilling_2,unit,process,ecoinvent 3_5 apos,477c481ea9fb2c0061c0af22377b8f50,-500,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPIOLSBAPOS_Etot_2_LCI,FPIOLSBAPOS_Inventaire_tot_2,unit,process,Demand vector,FPIOLSBAPOS_Ev2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_2_LCI,FPIOLSBAPOS_Inventaire_tot_2,unit,process,Demand vector,FPIOLSBAPOS_Erc2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_2_LCI,FPIOLSBAPOS_Inventaire_tot_2,unit,process,Demand vector,FPIOLSBAPOS_ASB2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_2_LCI,FPIOLSBAPOS_Inventaire_tot_2,unit,process,Demand vector,FPIOLSBAPOS_DSB2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_2_LCI,FPIOLSBAPOS_Inventaire_tot_2,unit,process,Demand vector,FPIOLSBAPOS_E_rre2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_2_LCI,FPIOLSBAPOS_Inventaire_tot_2,unit,process,Demand vector,FPIOLSBAPOS_Ed2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_2_LCI,FPIOLSBAPOS_Inventaire_tot_2,unit,process,Demand vector,FPIOLSBAPOS_Etot_1_LCI,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Ev3,FPIOLSBAPOS_Virgin_production_3,unit,process,ecoinvent 3_5 apos,1fb17fa8efc03a72112ff20123b975e2,1,cubic meter,technosphere,0,1,,,,oriented strand board,CA-QC,,EcoSpold01Location=RER
Demand vector,FPIOLSBAPOS_Erc3,FPIOLSBAPOS_Recycled_production_3,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,10.3435,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Erc3,FPIOLSBAPOS_Recycled_production_3,unit,process,Modified dataset,Recyc_OSB_APOS,1,cubic meter,technosphere,0,1,,,,recycled oriented strand board,,,
Demand vector,FPIOLSBAPOS_ASB3,FPIOLSBAPOS_Assembling_3,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,24.5,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_DSB3,FPIOLSBAPOS_Disassembly_deconst_3,unit,process,ecoinvent 3_5 apos,f475ad02498fff08b3b9f20443bfebba,179,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPIOLSBAPOS_E_rre3,FPIOLSBAPOS_Recycling_EOL_3,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_E_rre3,FPIOLSBAPOS_Recycling_EOL_3,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLSBAPOS_Ed3,FPIOLSBAPOS_Landfilling_3,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed3,FPIOLSBAPOS_Landfilling_3,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLSBAPOS_Ed3,FPIOLSBAPOS_Landfilling_3,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,22.4,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed3,FPIOLSBAPOS_Landfilling_3,unit,process,ecoinvent 3_5 apos,477c481ea9fb2c0061c0af22377b8f50,-700,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPIOLSBAPOS_Etot_3_LCI,FPIOLSBAPOS_Inventaire_tot_3,unit,process,Demand vector,FPIOLSBAPOS_Ev3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_3_LCI,FPIOLSBAPOS_Inventaire_tot_3,unit,process,Demand vector,FPIOLSBAPOS_Erc3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_3_LCI,FPIOLSBAPOS_Inventaire_tot_3,unit,process,Demand vector,FPIOLSBAPOS_ASB3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_3_LCI,FPIOLSBAPOS_Inventaire_tot_3,unit,process,Demand vector,FPIOLSBAPOS_DSB3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_3_LCI,FPIOLSBAPOS_Inventaire_tot_3,unit,process,Demand vector,FPIOLSBAPOS_E_rre3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_3_LCI,FPIOLSBAPOS_Inventaire_tot_3,unit,process,Demand vector,FPIOLSBAPOS_Ed3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_3_LCI,FPIOLSBAPOS_Inventaire_tot_3,unit,process,Demand vector,FPIOLSBAPOS_Etot_2_LCI,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Ev4,FPIOLSBAPOS_Virgin_production_4,unit,process,Modified dataset,PB_product_Qc_APOS,1,cubic meter,technosphere,0,1,,,,"particle board, for indoor use",,,
Demand vector,FPIOLSBAPOS_Ev4,FPIOLSBAPOS_Virgin_production_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,21,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Erc4,FPIOLSBAPOS_Recycled_production_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,176.277,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Erc4,FPIOLSBAPOS_Recycled_production_4,unit,process,Modified dataset,Recyc_PB_APOS,1,cubic meter,technosphere,0,1,,,,"recycled particle board, for indoor use",,,
Demand vector,FPIOLSBAPOS_Erc4,FPIOLSBAPOS_Recycled_production_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,173.6,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_ASB4,FPIOLSBAPOS_Assembling_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,0,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_DSB4,FPIOLSBAPOS_Disassembly_deconst_4,unit,process,ecoinvent 3_5 apos,f475ad02498fff08b3b9f20443bfebba,179,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPIOLSBAPOS_E_rre4,FPIOLSBAPOS_Recycling_EOL_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_E_rre4,FPIOLSBAPOS_Recycling_EOL_4,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
