Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,pedigree,scale without pedigree,Exchange's common name,Exchange location,Exchange category,comment
Demand vector,FPIOLSBAPOS_Ed4,FPIOLSBAPOS_Landfilling_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed4,FPIOLSBAPOS_Landfilling_4,unit,process,Modified dataset,SC_600_APOS,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPIOLSBAPOS_Ed4,FPIOLSBAPOS_Landfilling_4,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,22.4,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPIOLSBAPOS_Ed4,FPIOLSBAPOS_Landfilling_4,unit,process,ecoinvent 3_5 apos,477c481ea9fb2c0061c0af22377b8f50,-700,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPIOLSBAPOS_Etot_4_LCI,FPIOLSBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLSBAPOS_Ev4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_4_LCI,FPIOLSBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLSBAPOS_Erc4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_4_LCI,FPIOLSBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLSBAPOS_ASB4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_4_LCI,FPIOLSBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLSBAPOS_DSB4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_4_LCI,FPIOLSBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLSBAPOS_E_rre4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_4_LCI,FPIOLSBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLSBAPOS_Ed4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Etot_4_LCI,FPIOLSBAPOS_Inventaire_tot_4,unit,process,Demand vector,FPIOLSBAPOS_Etot_3_LCI,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPIOLSBAPOS_Ev5,FPIOLSBAPOS_Virgin_production_5,unit,process,ecoinvent 3_5 apos,0943c6d8ce2dd411b1e7a0d16491db5e,0.1178,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
